ranking,lon,lat,company,industry,state,city
358,-89.4012,43.0731,American Family Insurance Group,Insurance: Property and Casualty (Stock),WI,Madison
359,-85.6681,42.9634,SpartanNash,Wholesalers: Food and Grocery,MI,Grand Rapids
360,-79.9959,40.4406,WESCO International,Wholesalers: Diversified,PA,Pittsburgh
361,-95.3698,29.7604,Quanta Services,Engineering  Construction,TX,Houston
362,-84.9511,34.5026,Mohawk Industries,zMiscellaneous,GA,Calhoun
363,-88.0834,42.0334,Motorola Solutions,Network and Other Communications Equipment,IL,Schaumburg
364,-80.1918,25.7617,Lennar,Homebuilders,FL,Miami
365,-81.9179,41.4553,TravelCenters of America,Specialty Retailers: Other,OH,Westlake
366,-80.8431,35.2271,Sealed Air,Packaging  Containers,NC,Charlotte
367,-72.5898,42.1015,Eversource Energy,Utilities: Gas and Electric,MA,Springfield
368,-84.388,33.749,Coca-Cola Enterprises,Beverages,GA,Atlanta
369,-74.3646,40.7146,Celgene,Pharmaceuticals,NJ,Summit
370,-95.9928,36.154,Williams,Energy,OK,Tulsa
371,-84.5086,39.0837,Ashland,Chemicals,KY,Covington
372,-74.0059,40.7128,Interpublic Group,Advertising  marketing,NY,New York
373,-74.0059,40.7128,Blackstone Group,Diversified Financials,NY,New York
374,-74.0059,40.7128,Ralph Lauren,Apparel,NY,New York
375,-74.4171,40.7598,Quest Diagnostics,Health Care: Pharmacy and Other Services,NJ,Madison
376,-76.6502,40.2859,Hershey,Food Consumer Products,PA,Hershey
377,-73.3579,41.1415,Terex,Construction and Farm Machinery,CT,Westport
378,-71.5523,42.3459,Boston Scientific,Medical Products and Equipment,MA,Marlborough
379,-104.951,39.6172,Newmont Mining,Mining  Crude-Oil Production,CO,Greenwood Village
380,-117.795,33.6839,Allergan,Pharmaceuticals,CA,Irvine
381,-93.2923,37.209,O'Reilly Automotive,Specialty Retailers: Other,MO,Springfield
382,-93.6001,41.7318,Casey's General Stores,Specialty Retailers: Other,IA,Ankeny
383,-84.4013,42.2459,CMS Energy,Utilities: Gas and Electric,MI,Jackson
384,-74.0059,40.7128,Foot Locker,Specialty Retailers: Apparel,NY,New York
385,-73.6282,41.0262,W.R. Berkley,Insurance: Property and Casualty (Stock),CT,Greenwich
386,-112.074,33.4484,PetSmart,Specialty Retailers: Other,AZ,Phoenix
387,-117.929,33.6189,Pacific Life,Insurance: Life  Health (stock),CA,Newport Beach
388,-96.9489,32.814,Commercial Metals,Metals,TX,Irving
389,-121.955,37.3541,Agilent Technologies,Scientific Photographic and Control Equipment,CA,Santa Clara
390,-76.473,37.0871,Huntington Ingalls Industries,Aerospace and Defense,VA,Newport News
391,-95.998,41.2524,Mutual of Omaha Insurance,Insurance: Life  Health (stock),NE,Omaha
392,-118.4,34.0736,Live Nation Entertainment,Entertainment,CA,Beverly Hills
393,-80.1667,40.5184,Dick's Sporting Goods,Specialty Retailers: Other,PA,Coraopolis
394,-88.5426,44.0247,Oshkosh,Motor Vehicles and Parts,WI,Oshkosh
395,-96.9489,32.814,Celanese,Chemicals,TX,Irving
396,-97.3361,37.6889,Spirit AeroSystems Holdings,Aerospace and Defense,KS,Wichita
397,-71.4128,41.824,United Natural Foods,Wholesalers: Food and Grocery,RI,Providence
398,-90.1994,38.627,Peabody Energy,Mining  Crude-Oil Production,MO,St. Louis
399,-83.6272,41.557,Owens-Illinois,Packaging  Containers,OH,Perrysburg
400,-92.2896,34.7465,Dillard's,General Merchandisers,AR,Little Rock
401,-105.087,39.9205,Level 3 Communications,Telecommunications,CO,Broomfield
402,-78.7811,35.7915,Pantry,Specialty Retailers: Other,NC,Cary
403,-87.6298,41.8781,LKQ,Wholesalers: Diversified,IL,Chicago
404,-87.6298,41.8781,Integrys Energy Group,Utilities: Gas and Electric,IL,Chicago
405,-122.084,37.3861,Symantec,Computer Software,CA,Mountain View
406,-95.3698,29.7604,Buckeye Partners,Pipelines,TX,Houston
407,-80.1918,25.7617,Ryder System,Trucking  Truck Leasing,FL,Miami
408,-121.9,37.4323,SanDisk,Semiconductors and Other Electronic Components,CA,Milpitas
409,-87.9065,43.0389,Rockwell Automation,Electronics  Electrical Equip.,WI,Milwaukee
410,-83.6538,41.5628,Dana Holding,Motor Vehicles and Parts,OH,Maumee
411,-94.6708,38.9822,Lansing Trade Group,Wholesalers: Diversified,KS,Overland Park
412,-84.1446,34.0029,NCR,Computers  Office Equipment,GA,Duluth
